Ad1 [Product is displayed in smaller size],Ad1 [Ad with the brand name],Ad1 [Displaying the subsidiaries of the same brand],Ad1 [Displaying with quote],Ad1 [Attracting all categories of users],Ad1 [Model wearing the product],Ad1 [Displaying the only few parts of the model where the product is wore],Ad1 [Displaying full face of the model with product],Ad1 [Displaying model image as big and the product as small],Ad1 [Showing the outcome of using the product],Ad1 [The model in the ad known to you],Ad1 [Showing the glamour photos of model in ad],Ad1 [How much you like this ad]
4,4,1,5,3,5,5,1,3,4,1,1,3
5,4,1,4,1,3,4,1,1,1,1,1,2
5,5,1,4,1,4,4,1,5,5,1,1,1
1,2,2,1,2,1,3,1,1,2,2,1,1
2,3,2,1,2,4,5,1,3,4,1,1,2
5,4,1,5,3,4,5,1,2,5,1,1,5
3,2,1,4,2,5,4,2,4,5,1,1,2
2,3,2,1,2,3,4,1,4,5,1,3,5
4,4,2,1,3,5,2,4,4,4,5,5,5
4,3,1,1,2,4,4,5,5,4,5,5,4
2,5,5,4,4,5,1,4,4,5,5,5,5
4,3,2,3,4,5,3,4,2,4,4,4,5
3,4,4,2,1,5,1,4,3,5,5,5,5
4,3,2,1,3,4,2,4,2,5,5,5,5
3,5,1,5,4,5,2,3,4,5,4,4,5
4,4,2,1,1,4,4,3,4,5,5,1,5
4,5,1,4,4,5,4,5,5,4,1,2,3
4,3,1,4,2,4,4,4,4,4,2,2,3
2,2,1,1,1,5,4,4,5,5,1,1,1
2,2,1,1,2,1,2,3,3,2,1,1,1
2,3,1,2,3,3,4,1,4,2,1,1,1
4,5,1,2,5,5,4,5,5,4,1,1,4
5,5,4,5,4,1,4,4,4,5,2,1,1
4,4,2,5,1,4,4,4,5,4,2,2,1
4,5,3,5,2,5,4,5,4,4,5,2,4
4,4,3,4,2,4,4,5,3,5,5,4,4
2,4,1,4,1,5,3,3,1,5,5,2,4
4,3,3,4,4,3,2,3,4,4,3,4,5
2,3,4,2,4,5,5,5,5,5,5,3,5
4,5,3,2,4,5,5,5,2,4,3,2,4
2,3,4,5,1,5,5,5,5,5,5,5,4
2,2,3,4,3,3,4,4,5,4,3,4,4
2,4,5,2,4,4,2,4,1,5,5,2,3
2,4,5,2,2,4,1,3,1,4,4,2,2
1,4,5,1,1,4,1,3,1,5,5,1,2
4,5,4,3,3,2,2,2,2,3,3,4,3
2,4,5,1,4,5,2,2,1,4,4,1,4
1,4,5,2,2,4,1,2,3,4,5,4,3
2,4,5,3,2,4,1,4,4,5,4,4,3
3,3,4,4,3,4,4,4,3,2,4,4,5
3,3,1,1,2,3,2,5,4,5,2,1,3
3,4,1,1,4,4,4,4,2,4,2,1,1
1,4,1,1,1,4,4,4,4,5,1,1,1
2,3,1,1,2,4,3,2,1,2,1,1,2
2,2,1,1,3,4,1,1,2,4,5,1,3
3,4,3,1,2,3,4,4,5,5,2,2,2
3,2,1,1,1,2,2,4,3,5,4,3,3
4,3,2,1,2,1,1,2,3,2,1,1,1
4,4,1,5,3,5,5,1,3,4,1,1,3
5,4,1,4,1,3,4,1,1,1,1,1,2
5,5,1,4,1,4,4,1,5,5,1,1,1
1,2,2,1,2,1,3,1,1,2,2,1,1
2,3,2,1,2,4,5,1,3,4,1,1,2
5,4,1,5,3,4,5,1,2,5,1,1,5
3,2,1,4,2,5,4,2,4,5,1,1,2
2,3,2,1,2,3,4,1,4,5,1,3,5
4,4,2,1,3,5,2,4,4,4,5,5,5
4,3,1,1,2,4,4,5,5,4,5,5,4
2,5,5,4,4,5,1,4,4,5,5,5,5
4,3,2,3,4,5,3,4,2,4,4,4,5
3,4,4,2,1,5,1,4,3,5,5,5,5
4,3,2,1,3,4,2,4,2,5,5,5,5
3,5,1,5,4,5,2,3,4,5,4,4,5
4,4,2,1,1,4,4,3,4,5,5,1,5
4,5,1,4,4,5,4,5,5,4,1,2,3
4,4,2,1,3,5,2,4,4,4,5,5,5
4,3,1,1,2,4,4,5,5,4,5,5,4
2,5,5,4,4,5,1,4,4,5,5,5,5
4,3,2,3,4,5,3,4,2,4,4,4,5
3,4,4,2,1,5,1,4,3,5,5,5,5
4,3,2,1,3,4,2,4,2,5,5,5,5
3,5,1,5,4,5,2,3,4,5,4,4,5
4,4,2,1,1,4,4,3,4,5,5,1,5
4,5,1,4,4,5,4,5,5,4,1,2,3
4,3,1,4,2,4,4,4,4,4,2,2,3
2,2,1,1,1,5,4,4,5,5,1,1,1
2,2,1,1,2,1,2,3,3,2,1,1,1
2,3,1,2,3,3,4,1,4,2,1,1,1
4,5,1,2,5,5,4,5,5,4,1,1,4
2,4,5,1,4,5,2,2,1,4,4,1,4
1,4,5,2,2,4,1,2,3,4,5,4,3
2,4,5,3,2,4,1,4,4,5,4,4,3
3,3,4,4,3,4,4,4,3,2,4,4,5
3,3,1,1,2,3,2,5,4,5,2,1,3
3,4,1,1,4,4,4,4,2,4,2,1,1
1,4,1,1,1,4,4,4,4,5,1,1,1
2,3,1,1,2,4,3,2,1,2,1,1,2
2,2,1,1,3,4,1,1,2,4,5,1,3
3,4,3,1,2,3,4,4,5,5,2,2,2
3,2,1,1,1,2,2,4,3,5,4,3,3
4,3,2,1,2,1,1,2,3,2,1,1,1
4,4,1,5,3,5,5,1,3,4,1,1,3
5,4,1,4,1,3,4,1,1,1,1,1,2
1,2,2,1,2,1,3,1,1,2,2,1,1
2,3,2,1,2,4,5,1,3,4,1,1,2
5,4,1,5,3,4,5,1,2,5,1,1,5
3,2,1,4,2,5,4,2,4,5,1,1,2
2,3,2,1,2,3,4,1,4,5,1,3,5
4,4,2,1,3,5,2,4,4,4,5,5,5
4,3,1,1,2,4,4,5,5,4,5,5,4
2,5,5,4,4,5,1,4,4,5,5,5,5
4,3,2,3,4,5,3,4,2,4,4,4,5
3,4,4,2,1,5,1,4,3,5,5,5,5
4,3,2,1,3,4,2,4,2,5,5,5,5